Name,Phone,NIC,Address,Credit Limit,Discount,Email
Muhammad Adil Khan,03112108156,4220160233025,Malir Model,1000,50,adilsziiu@outlook.com
Rehan,03112108156,4220160233025,Malir Model,2000,60,adilsziiu@outlook.com
Kamran,03112108156,4220160233025,Malir Model,3000,70,adilsziiu@outlook.com
Ahsan,03112108156,4220160233025,Malir Model,4000,80,adilsziiu@outlook.com
Akmal,03112108156,4220160233025,Malir Model,5000,90,adilsziiu@outlook.com
Shahbuddin,03112108156,4220160233025,Turkey,6000,100,adilsziiu@outlook.com
Ertugral,03112108156,4220160233025,Turkey,7000,110,adilsziiu@outlook.com
Haleema Sultan,03112108156,4220160233025,Turkey,8000,120,adilsziiu@outlook.com
Kudoglo,03112108156,4220160233025,Turkey,9000,130,adilsziiu@outlook.com
Karatoegar,03112108156,4220160233025,Turkey,10000,140,adilsziiu@outlook.com
tetush,03112108156,4220160233025,Turkey,11000,150,adilsziiu@outlook.com
Ustad E Azam,03112108156,4220160233025,Turkey,12000,160,adilsziiu@outlook.com
Cardinal,03112108156,4220160233025,Turkey,13000,170,adilsziiu@outlook.com
Nasir,03112108156,4220160233025,Turkey,14000,180,adilsziiu@outlook.com
Babar,03112108156,4220160233025,Turkey,15000,190,adilsziiu@outlook.com
Noor Gul,03112108156,4220160233025,Turkey,16000,200,adilsziiu@outlook.com
